,Drug1,Drug2
33599,C09A,L02A
33600,N06B,M01A
33601,N05B,N03A
33602,L01B,A10B
33603,C10A,A04A
33604,A07D,H05B
33605,L01B,A03B
33606,M05B,N02C
33607,N03A,A02B
33608,C03C,C01E
33609,J01X,H02A
33610,G04C,L01X
33611,C01B,A02B
33612,N05C,J04A
33613,N02A,A01A
33614,C07A,R01A
33615,N02A,M02A
33616,J02A,C09A
33617,M02A,N05A
33618,C10A,C09A
33619,A03A,A02B
33620,N06A,V03A
33621,N05B,N02A
33622,N04B,C02C
33623,C10A,J01D
33624,N02A,R06A
33625,S01E,V03A
33626,H02A,M03A
33627,N02A,N06A
33628,M02A,R03A
33629,S01A,J05A
33630,A04A,M01A
33631,C09C,D01A
33632,N06A,A10B
33633,C03C,C07A
33634,A04A,C07A
33635,C03A,D10A
33636,D05A,M01A
33637,D05A,J01D
33638,M01A,A02B
33639,M01A,G04B
33640,C03D,N05C
33641,M01A,A06A
33642,M02A,C10A
33643,J05A,J05A
33644,J01D,N06B
33645,B01A,L01C
33646,A01A,C03D
33647,A02B,N01A
33648,A05A,A10B
33649,A03A,N01A
33650,C08C,A10B
33651,M05B,N03A
33652,N05B,N01B
33653,N05B,N05B
33654,N05B,N07B
33655,N05B,C03C
33656,N05C,R01A
33657,M05B,R01A
33658,R06A,J05A
33659,C05A,M04A
33660,N05B,L01X
33661,N01A,A02B
33662,R01A,J01D
33663,G03A,N02C
33664,N05B,N04A
33665,N05B,J05A
33666,C08D,C02C
33667,R03A,J05A
33668,L02B,A02B
33669,C09A,R06A
33670,D10A,S01E
33671,N05B,C07A
33672,L01C,H02A
33673,J05A,S01E
33674,N06A,C10A
33675,A10B,C10A
33676,C03C,N06A
33677,C01B,N01A
33678,N02A,N02A
33679,J05A,J05A
33680,C03C,M01A
33681,C03C,L01A
33682,J05A,C10A
33683,J02A,L01C
33684,C03C,N02A
33685,J04A,A02B
33686,J05A,L01B
33687,G04C,M04A
33688,B01A,D10A
33689,N05B,N06A
33690,C08C,B05X
33691,C08D,D07A
33692,L01B,C09A
33693,H02A,H02A
33694,N03A,N05A
33695,M01A,A10B
33696,N05B,C02C
33697,R03A,R01A
33698,J01X,J05A
33699,M01A,S01E
33700,J01C,D11A
33701,N05A,M05B
33702,C03B,S01E
33703,L02B,C01D
33704,C09C,H05B
33705,M01A,B01A
33706,L02B,V03A
33707,L01D,N06A
33708,N05A,N06A
33709,B03B,V03A
33710,N05A,A10B
33711,R06A,C03D
33712,L01D,G04B
33713,P01B,D01A
33714,N05A,S01A
33715,C07A,S01A
33716,N05B,A06A
33717,C07A,L01B
33718,C07A,C10A
33719,M05B,P01A
33720,C03C,M03B
33721,M05B,C07A
33722,C08D,D01A
33723,N05A,L02B
33724,C07A,C10A
33725,A01A,N05B
33726,C09A,L02A
33727,N03A,M02A
33728,L04A,N05C
33729,M01A,C09C
33730,N06A,C09A
33731,A03F,J01D
33732,L02A,N06B
33733,N06A,N05B
33734,S01E,A10B
33735,A02B,A02B
33736,C03C,N04B
33737,B05C,C08D
33738,J04A,L04A
33739,C10A,J01D
33740,C09A,C03C
33741,M01A,N06A
33742,D05A,M01A
33743,D10A,C03D
33744,C01B,N05C
33745,D05A,J01D
33746,C09A,A02B
33747,N02B,A10B
33748,N05A,N06A
33749,A02B,R06A
33750,M03B,C08C
33751,V03A,A04A
33752,V03A,A02B
33753,B01A,L01B
33754,M03B,M03B
33755,B01A,C10A
33756,B01A,S01A
33757,S01E,C03C
33758,R01A,D10A
33759,C01E,H02A
33760,S01A,D10A
33761,C01B,J05A
33762,H02A,B01A
33763,S01E,L01X
33764,L01A,C09A
33765,C01D,L02B
33766,N06A,J05A
33767,R03A,M03B
33768,J05A,A02B
33769,J01X,L02A
33770,N02C,C10A
33771,C09A,C08C
33772,R03A,S01A
33773,S01E,N03A
33774,R03A,V03A
33775,C08D,C09C
33776,M05B,J02A
33777,C08D,R01A
33778,C01B,N03A
33779,M05B,R06A
33780,M05B,M01A
33781,L01C,A10B
33782,A10B,H05B
33783,C08C,C10A
33784,R03A,N02C
33785,R03A,N05C
33786,R03A,N03A
33787,R03A,N05C
33788,C09C,J02A
33789,C09A,C03B
33790,M02A,C07A
33791,M05B,C10A
33792,C08C,C09C
33793,D11A,J01X
33794,C05A,A10B
33795,A04A,L01D
33796,J01A,H02A
33797,B01A,A03F
33798,N02A,H01C
33799,R01A,C03D
33800,C05A,N02C
33801,J05A,A04A
33802,H02A,L01B
33803,D11A,N05C
33804,J01D,N02A
33805,J01D,G04B
33806,C03B,C09A
33807,J01C,G04C
33808,C03B,N05B
33809,C03C,N06A
33810,S01A,J01A
33811,C01D,N06A
33812,D10A,R01A
33813,J02A,N06A
33814,J02A,L01A
33815,C01D,L01X
33816,D05A,B01A
33817,L02B,M03B
33818,N05B,N02C
33819,N05B,J05A
33820,H02A,H01B
33821,V03A,N01A
33822,J04A,C03A
33823,C10A,D10A
33824,N05A,J04A
33825,N02C,G04B
33826,B01A,J01D
33827,L01B,M01A
33828,L01B,L01A
33829,C01B,N02A
33830,B01A,J01D
33831,C09A,C01B
33832,L01X,N03A
33833,C07A,A10B
33834,A03A,R03D
33835,D11A,A02B
33836,N03A,A07E
33837,N06A,N06A
33838,J01A,M03B
33839,C09A,N05B
33840,C01B,N06A
33841,M05B,D11A
33842,M01A,A10B
33843,J05A,J05A
33844,P01A,L01C
33845,D01A,P01A
33846,S01E,S01A
33847,A02B,R03A
33848,J01D,L01D
33849,L02B,H02A
33850,C03C,N05C
33851,A03F,C01C
33852,N05B,M05B
33853,N05B,M02A
33854,J01D,A07E
33855,N06B,G04B
33856,N06B,N02A
33857,S01A,C01E
33858,N07B,L01B
33859,N06A,L02A
33860,C03B,C09C
33861,V03A,V03A
33862,C03B,G04B
33863,C09C,M03B
33864,J05A,A04A
33865,D11A,C09C
33866,S01A,J01F
33867,L01X,L02A
33868,C10A,L01D
33869,J01D,N05B
33870,J01D,A07D
33871,J01D,C09A
33872,J05A,L01C
33873,C10A,J01M
33874,C10A,S01E
33875,C07A,C08C
33876,A02B,C10A
33877,J01X,B01A
33878,J02A,S01E
33879,B01A,J04A
33880,R01A,R03A
33881,C09A,R06A
33882,C01D,C08C
33883,C08C,C01D
33884,N01B,N06A
33885,J01X,M03A
33886,C09A,N01A
33887,C09A,C07A
33888,B03B,L04A
33889,L01C,B03B
33890,L01C,C10A
33891,A03A,R06A
33892,J01F,N02C
33893,P01B,N05C
33894,M03B,C08D
33895,V03A,R06A
33896,C07A,C10A
33897,A07E,C07A
33898,S01E,R01A
33899,A07E,N01A
33900,B03B,G04B
33901,C07A,C01D
33902,N05B,N02C
33903,N05C,L01X
33904,B01A,D10A
33905,V03A,N03A
33906,L01C,C10A
33907,C08C,M05B
33908,V03A,H02A
33909,L01X,A04A
33910,V03A,C09A
33911,G04B,N03A
33912,S01E,M04A
33913,C09A,S01A
33914,C09A,L01B
33915,H02A,J05A
33916,C09A,C10A
33917,S01E,J01X
33918,G04B,L02B
33919,N06D,N03A
33920,R01A,A10B
33921,M05B,C01B
33922,P01A,N02A
33923,P01A,C07A
33924,S01A,N05A
33925,N06A,L01C
33926,J01C,C10A
33927,R01A,R01A
33928,J01F,M01A
33929,C09A,N02C
33930,C04A,M04A
33931,L01B,L01C
33932,P01B,M03B
33933,V03A,N05C
33934,C07A,J05A
33935,M03B,C09C
33936,G04C,G04B
33937,C01D,N05C
33938,C01D,N03A
33939,A10B,N06A
33940,C08C,M04A
33941,N05B,C09A
33942,C07A,J01E
33943,R01A,N05A
33944,N03A,N05C
33945,R01A,N05C
33946,M01A,G04C
33947,A02B,A03B
33948,A04A,C01D
33949,A03A,N05A
33950,A06A,C09C
33951,N05B,C07A
33952,M01A,A04A
33953,A16A,N06A
33954,P01A,J05A
33955,L01D,B01A
33956,C10A,C07A
33957,R05D,N05C
33958,C03C,M05B
33959,R05D,N05C
33960,D01A,M05B
33961,A04A,M05B
33962,D01A,R03D
33963,N05C,J05A
33964,N03A,M05B
33965,A10B,H02A
33966,M02A,C09C
33967,N03A,G04B
33968,N03A,G04B
33969,M03A,N01A
33970,L01B,M02A
33971,C10A,J01X
33972,L01B,A01A
33973,L02B,C03C
33974,A05A,C03D
33975,A05A,C10A
33976,G04B,M05B
33977,A02B,G04C
33978,S01A,R03D
33979,C07A,J01F
33980,R03D,D11A
33981,A02B,C10A
33982,C01D,S01E
33983,N02A,N06A
33984,N05B,R03A
33985,L02B,C03C
33986,R06A,M01A
33987,B01A,R03D
33988,C09C,A07E
33989,M01A,N06A
33990,H03A,M03A
33991,C01D,H02A
33992,C07A,C09A
33993,S01E,R03A
33994,C08C,A10B
33995,J01D,R01A
33996,N02C,J05A
33997,V03A,R06A
33998,J05A,C01D
33999,A04A,L01X
34000,N03A,C03B
34001,C09A,C07A
34002,J02A,D11A
34003,N03A,C09C
34004,J01D,N05A
34005,A07E,L01B
34006,M03B,N03A
34007,C09A,A02B
34008,N05B,A04A
34009,A10B,G04C
34010,C08D,J04A
34011,C07A,N05C
34012,M03B,G04C
34013,R03D,N06A
34014,A16A,N05B
34015,S01E,B01A
34016,L01A,C10A
34017,B03B,C08C
34018,C09A,C09A
34019,R06A,A07E
34020,B03B,C10A
34021,M05B,N02C
34022,G04C,V03A
34023,N04B,R03A
34024,C09A,C09A
34025,C09A,N05A
34026,C07A,C09C
34027,A02B,S01E
34028,J04A,C03D
34029,N05C,N05C
34030,C08D,V03A
34031,B01A,C10A
34032,J05A,L01C
34033,N05B,N05C
34034,C09A,H02A
34035,J05A,C03D
34036,R05D,A06A
34037,N05B,M02A
34038,B03B,C01D
34039,S01A,S01A
34040,J01D,L01X
34041,M05B,M01A
34042,H03A,N05C
34043,H03A,N02C
34044,M03B,L02B
34045,H03A,N05C
34046,H03A,N03A
34047,C09A,B03B
34048,A03A,M04A
34049,H03A,J01A
34050,B01A,B01A
34051,B01A,N07B
34052,L01C,M05B
34053,N06A,G04B
34054,N06A,G04B
34055,A02B,L02A
34056,N06B,N03A
34057,N03A,N06D
34058,C01E,J05A
34059,S01A,C01E
34060,N03A,C03C
34061,M01A,N06A
34062,L02B,C09A
34063,P01A,N05C
34064,G04C,C03D
34065,R06A,G04C
34066,P01A,N03A
34067,P01A,N05C
34068,J05A,R01A
34069,A02B,N07B
34070,A10B,L01X
34071,J01X,M04A
34072,C01E,B01A
34073,N05C,D11A
34074,L02A,N06A
34075,C03C,L01X
34076,L04A,A04A
34077,L04A,L04A
34078,C07A,C09A
34079,C02C,A10B
34080,D01A,N05B
34081,D01A,A07D
34082,N05B,A02B
34083,D01A,C09A
34084,C02C,A10B
34085,J02A,D01A
34086,S01E,N03A
34087,S01A,C07A
34088,S01A,N01A
34089,C07A,N06A
34090,C01B,C08C
34091,R01A,L01X
34092,H03A,C02A
34093,A01A,N01A
34094,J01C,C10A
34095,B05C,S01A
34096,C01D,C03D
34097,C01D,C10A
34098,C10A,J01D
34099,J01D,N04A
34100,J01D,A03F
34101,C09A,R03A
34102,C02A,C01D
34103,D01A,D11A
34104,J01X,A10B
34105,C03B,C10A
34106,N05B,R06A
34107,C10A,N02C
34108,C10A,N03A
34109,C10A,N05C
34110,C09A,D11A
34111,V03A,A10B
34112,J01D,L02A
34113,L01A,J01D
34114,C08D,C08C
34115,N06A,G04C
34116,J05A,P01A
34117,R03D,R03D
34118,L02A,S01E
34119,S01A,J01F
34120,M02A,B05X
34121,C09C,S01A
34122,J02A,L01D
34123,N05A,A06A
34124,J01X,C03C
34125,R06A,B01A
34126,N02B,M04A
34127,N05C,N01A
34128,N05B,C01D
34129,C10A,D11A
34130,M03B,N06B
34131,N03A,N05B
34132,J01D,N01A
34133,N02B,J05A
34134,J02A,R03A
34135,C03B,M05B
34136,N03A,A07D
34137,N03A,C09A
34138,N02A,N06A
34139,S01A,M01A
34140,D08A,N06A
34141,A02B,N05A
34142,S01A,N02A
34143,C09A,J01E
34144,L01B,L04A
34145,J05A,G04C
34146,L01B,S01A
34147,R01A,G04B
34148,J01D,J05A
34149,V03A,L01X
34150,C03D,C09C
34151,C10A,L02A
34152,N06A,H02A
34153,G04B,A10B
34154,G04B,M05B
34155,R03D,J01F
34156,J05A,A02B
34157,J01D,R01A
34158,C09A,C05A
34159,C08C,J01X
34160,J02A,D11A
34161,C02A,A03F
34162,N06A,A02B
34163,C09C,J05A
34164,C09C,A05A
34165,D05A,M01A
34166,C09C,A10B
34167,C09A,J05A
34168,C03C,L01A
34169,M05B,C07A
34170,C09A,N03A
34171,D05A,J05A
34172,C09A,J01D
34173,R06A,C01E
34174,N06A,A10B
34175,J02A,M04A
34176,A10B,L01X
34177,C07A,A10B
34178,J05A,M01A
34179,C09A,M01A
34180,A03F,A02B
34181,A03A,A02B
34182,A01A,A07E
34183,L01X,C05A
34184,J05A,H02A
34185,J05A,A03F
34186,C09C,N05B
34187,S01A,J05A
34188,B01A,C03D
34189,B01A,C10A
34190,R06A,G04B
34191,R06A,N02A
34192,M05B,C10A
34193,R03A,N06A
34194,S01A,H02A
34195,C07A,R01A
34196,N05A,C10A
34197,N05A,L01B
34198,S01A,L01X
34199,D08A,H02A
34200,H02A,L01B
34201,D11A,L01C
34202,A02B,S01E
34203,V03A,C09A
34204,J01X,L04A
34205,J05A,A02B
34206,L01D,N03A
34207,J05A,N06A
34208,A10B,G04C
34209,A02B,B05X
34210,A01A,N01A
34211,P01B,C09C
34212,D10A,G04B
34213,N05A,M02A
34214,N06B,N05C
34215,N01A,H03B
34216,A10B,C09A
34217,N05A,N05C
34218,H02A,N06A
34219,B01A,C05A
34220,M03B,M01A
34221,C01D,A04A
34222,N06A,S01E
34223,M03B,M03B
34224,M03B,B05X
34225,N06B,N06A
34226,C03D,B01A
34227,D05A,N02A
34228,C03C,N06A
34229,C03C,N01A
34230,D05A,M01A
34231,A02B,N01A
34232,H02A,J02A
34233,D11A,N01B
34234,M01A,A02B
34235,A04A,A06A
34236,L01A,M04A
34237,C09A,N02C
34238,S01E,B05X
34239,C09A,D06A
34240,R06A,J01X
34241,N05B,D07A
34242,M01A,B05C
34243,R06A,J02A
34244,R06A,L01B
34245,J01D,J01F
34246,J02A,N06A
34247,J02A,N01A
34248,R03A,A06A
34249,C09A,N05B
34250,A01A,C09A
34251,A01A,A02B
34252,L02B,M05B
34253,A01A,G03X
34254,N02B,A03A
34255,H03A,A10B
34256,C03B,C03D
34257,C03B,C10A
34258,A10B,L01B
34259,C10A,D11A
34260,N02B,M01A
34261,C01E,M02A
34262,A10B,L01X
34263,N05A,N05C
34264,C03B,L01C
34265,D08A,L01C
34266,N05B,M01A
34267,G04B,L01X
34268,G04B,R01A
34269,N05B,C09C
34270,N05B,J01X
34271,B05X,R06A
34272,L01X,L01X
34273,A02B,H02A
34274,S01E,M05B
34275,S01A,J05A
34276,M01A,N02C
34277,C03B,H05B
34278,P01B,L01C
34279,H02A,C05A
34280,L04A,R06A
34281,C03B,C05A
34282,R06A,G04C
34283,N03A,C03C
34284,N05B,G04B
34285,C07A,P01B
34286,C09C,J05A
34287,C07A,R06A
34288,A07E,G04C
34289,C01E,M01A
34290,C09A,A03B
34291,L01D,N02C
34292,M02A,J05A
34293,J01D,N05C
34294,M02A,N06B
34295,C07A,N06A
34296,C07A,N06B
34297,A04A,N05B
34298,J01E,C09C
34299,H03A,D01A
34300,C08C,A10B
34301,N05A,A10B
34302,J01A,N05C
34303,N05B,C03C
34304,C10A,J05A
34305,J05A,C09A
34306,C10A,A10B
34307,J05A,J05A
34308,L01X,C08C
34309,A03B,A04A
34310,J05A,S01A
34311,S01E,L04A
34312,B01A,L01D
34313,D11A,N06A
34314,C07A,C10A
34315,D11A,J01A
34316,V03A,R03A
34317,N05B,L01X
34318,V03A,M05B
34319,V03A,J01X
34320,V03A,J01F
34321,C07A,L01X
34322,L01C,N05B
34323,A02B,V03A
34324,B01A,N02B
34325,N06A,C01D
34326,J01C,C09C
34327,J01X,C10A
34328,J01C,C10A
34329,C09A,C09A
34330,C09C,M02A
34331,C09A,J02A
34332,R03A,R03D
34333,N02B,A07E
34334,N03A,C08C
34335,N02A,N01A
34336,N02A,C07A
34337,A10B,G04B
34338,R01A,N05A
34339,B01A,A02B
34340,R01A,C09A
34341,A02B,N06B
34342,N03A,C09A
34343,N02A,N01A
34344,L02B,A06A
34345,N03A,N05A
34346,M05B,A07E
34347,N05B,R01A
34348,C03D,B01A
34349,J02A,N05C
34350,C03D,S01E
34351,J05A,B05X
34352,J01A,C09A
34353,C03A,A02B
34354,A04A,L01B
34355,A10B,C10A
34356,S01E,S01A
34357,B01A,S01A
34358,H02A,D07A
34359,R03D,C07A
34360,L01B,C03C
34361,J01X,C01C
34362,L01B,C08C
34363,N06A,D01A
34364,J05A,N03A
34365,D10A,N06A
34366,D10A,G03A
34367,L01D,C08C
34368,D11A,N05C
34369,C03C,A10B
34370,N02A,A06A
34371,N03A,S01A
34372,A02B,R06A
34373,N03A,R03D
34374,N03A,C01D
34375,N03A,J05A
34376,C07A,A02B
34377,C07A,C09A
34378,N03A,S01E
34379,L01D,C09A
34380,C07A,G03X
34381,L04A,N06A
34382,C03C,N03A
34383,J05A,J05A
34384,C03C,C09A
34385,S01A,J01A
34386,L04A,B01A
34387,C03B,J01X
34388,J05A,N05C
34389,J01X,A06A
34390,C01B,P01A
34391,M02A,N06B
34392,B05C,B01A
34393,L01B,L01X
34394,C08D,A02B
34395,R06A,R03D
34396,J01D,A10B
34397,L01B,C10A
34398,J04A,H02A
34399,J05A,G04B
34400,B01A,N02C
34401,C03B,A02B
34402,R06A,H01C
34403,B01A,A10B
34404,C09A,R06A
34405,J05A,J05A
34406,C07A,N05A
34407,J01D,N03A
34408,C07A,G04B
34409,G04C,C10A
34410,J01X,C09A
34411,J01D,N03A
34412,D10A,B01A
34413,C10A,A06A
34414,C01B,N05A
34415,C10A,N03A
34416,L01B,A04A
34417,J05A,N03A
34418,S01A,A02B
34419,L01X,S01A
34420,R03A,M04A
34421,J05A,H02A
34422,H02A,G04B
34423,H02A,N02A
34424,B01A,R01A
34425,C09C,A10B
34426,J01D,N05B
34427,L02B,C07A
34428,C08C,N05B
34429,A04A,C10A
34430,C09A,C04A
34431,D05A,C07A
34432,H02A,N06A
34433,M03B,R03A
34434,M02A,N03A
34435,C09A,M04A
34436,B03B,R01A
34437,M03B,C09A
34438,M02A,H02A
34439,J05A,J05A
34440,C10A,J05A
34441,N06A,J05A
34442,C08C,C08C
34443,R06A,A10B
34444,L02A,C10A
34445,A03F,A02B
34446,M02A,J05A
34447,L01X,D11A
34448,B01A,J05A
34449,J01D,N05C
34450,L01C,C09A
34451,C09A,B03B
34452,D10A,C03D
34453,C09A,M03B
34454,C07A,N05C
34455,G04B,N04B
34456,V03A,J02A
34457,A03F,G04B
34458,C09C,L01B
34459,C07A,N05C
34460,N02B,R03A
34461,N02A,N02C
34462,C07A,B05X
34463,A10B,L02B
34464,N02B,L01C
34465,N02B,L01X
34466,C03B,N02C
34467,A10B,M04A
34468,N06A,J02A
34469,J01F,N01A
34470,C03B,A10B
34471,S01E,M05B
34472,H03A,L02B
34473,N03A,G04C
34474,B01A,C08C
34475,B01A,M03B
34476,C07A,J01A
34477,J05A,V03A
34478,C10A,A02B
34479,N04B,C07A
34480,C08C,A10B
34481,C08C,N06A
34482,S01E,A05A
34483,J05A,L01C
34484,J01D,N03A
34485,N02B,M04A
34486,H02A,S01A
34487,P01A,J05A
34488,C08C,C10A
34489,J01D,L01D
34490,S01A,J01D
34491,M03B,G04B
34492,D11A,D11A
34493,A10B,R03A
34494,C09A,G03X
34495,N02C,M04A
34496,C09A,C09A
34497,C09A,A02B
34498,A10B,J05A
34499,M05B,L01X
34500,C10A,J04A
34501,J05A,M05B
34502,M03A,N05C
34503,S01A,A04A
34504,S01A,A02B
34505,B01A,M04A
34506,V03A,L01D
34507,V03A,L01X
34508,N03A,D11A
34509,N05C,J01C
34510,R01A,J05A
34511,D10A,H01C
34512,R06A,N05C
34513,C09A,C09A
34514,C03C,N01A
34515,C09A,C10A
34516,R01A,J05A
34517,S01A,C01D
34518,L01D,G04B
34519,C10A,M02A
34520,J01F,R06A
34521,S01A,B05C
34522,C07A,L01X
34523,B05X,R01A
34524,P01A,A04A
34525,H01B,N03A
34526,A02B,N06A
34527,N05A,G04C
34528,M05B,M01A
34529,A04A,A02B
34530,M05B,G04C
34531,C02C,N03A
34532,C02C,J05A
34533,C09A,L02A
34534,H03A,G04C
34535,N05B,N05C
34536,C01D,H01C
34537,G04C,L01X
34538,C10A,L01C
34539,A04A,S01E
34540,C09A,R03A
34541,A10B,L04A
34542,M01A,A10B
34543,D05A,C09A
34544,C03D,A10B
34545,A10B,C09A
34546,N05C,M05B
34547,V03A,L01D
34548,N02B,L01X
34549,N05C,N05A
34550,C09A,A06A
34551,C09A,L01X
34552,C09A,C09A
34553,J05A,J05A
34554,N06A,J01F
34555,L01X,A07E
34556,N03A,A04A
34557,C08D,C01B
34558,C08D,G04C
34559,J05A,M04A
34560,M02A,V03A
34561,C01B,G04B
34562,A07D,C03C
34563,A02B,C07A
34564,L01B,R01A
34565,V03A,A02B
34566,C10A,N04B
34567,A02B,C09A
34568,N05B,N03A
34569,D11A,M05B
34570,R03A,L02B
34571,N02A,A02B
34572,C10A,N06A
34573,C01B,G04B
34574,M05B,M05B
34575,R03A,S01A
34576,C09C,N05C
34577,A10B,A04A
34578,A10B,A02B
34579,C10A,A04A
34580,C09C,R03D
34581,L01X,N05C
34582,S01A,B01A
34583,A02B,L01D
34584,C09C,A02B
34585,L04A,N06B
34586,N04B,A03F
34587,V03A,A07E
34588,J01D,M01A
34589,G04C,N05A
34590,N06A,A10B
34591,J02A,J01D
34592,N05B,N06A
34593,H03A,C10A
34594,N05B,C02C
34595,C08C,M01A
34596,C09A,A04A
34597,R06A,G04C
34598,A03B,N05B
34599,C08C,N02C
34600,N03A,M05B
34601,C01E,G04C
34602,A02B,L04A
34603,N05B,N05C
34604,H03A,N03A
34605,L02A,S01A
34606,C09A,D10A
34607,P01A,N01A
34608,G04C,A06A
34609,C10A,N06A
34610,C10A,G03A
34611,N03A,N06A
34612,C10A,A10B
34613,L01C,L01A
34614,C07A,N03A
34615,L01X,J05A
34616,L01B,S01A
34617,J02A,B01A
34618,L01B,D10A
34619,M03B,C09C
34620,M01A,N06B
34621,M02A,C09C
34622,H02A,L04A
34623,C08C,C10A
34624,C10A,N04B
34625,A07D,L04A
34626,J01D,J02A
34627,N05C,M04A
34628,L01C,M04A
34629,N02A,A04A
34630,J01D,J01D
34631,N06A,G04B
34632,L01X,L02A
34633,J01D,J01D
34634,N05B,N06A
34635,A02B,M03A
34636,C10A,N05B
34637,V03A,J01X
34638,R01A,M01A
34639,R01A,N05B
34640,C09C,S01E
34641,S01E,N05A
34642,C08C,C09C
34643,J02A,M04A
34644,N03A,N05A
34645,C07A,A02B
34646,L02B,G04C
34647,N05B,N06B
34648,N05B,H02A
34649,L01X,N05C
34650,N06A,N03A
34651,A10B,L01X
34652,R01A,C01B
34653,R01A,G04C
34654,R03A,H01C
34655,C09A,A06A
34656,C07A,S01A
34657,N02B,C09A
34658,R03A,G04B
34659,N05B,N03A
34660,N03A,C03D
34661,C02C,R03D
34662,N03A,B05C
34663,N05B,J05A
34664,N05B,C03A
34665,J01D,R03A
34666,C08C,C07A
34667,N06D,M04A
34668,J05A,N05C
34669,J05A,R03D
34670,A02B,A04A
34671,A02B,B01A
34672,N05B,N03A
34673,L01B,L02B
34674,N06B,N06B
34675,P01A,C05A
34676,L02A,J01D
34677,N01A,A05A
34678,A03B,C08C
34679,R03D,C09C
34680,N06B,C10A
34681,C09C,N03A
34682,C09A,L01C
34683,C03B,B01A
34684,N06A,C03D
34685,G04C,A06A
34686,R01A,D07A
34687,H03A,B05C
34688,M02A,J04A
34689,A03F,J01X
34690,S01E,G04C
34691,N05B,L01X
34692,D05A,C05A
34693,M02A,L01X
34694,N03A,C09A
34695,N05C,A05A
34696,C09C,N06A
34697,S01A,N06A
34698,J05A,P01A
34699,J05A,C07A
34700,A02B,L02B
34701,C09A,N03A
34702,J05A,D07A
34703,J05A,D10A
34704,J05A,L01B
34705,R01A,L01X
34706,S01E,M04A
34707,C01D,B01A
34708,J01M,R06A
34709,M01A,J01D
34710,M05B,C01E
34711,J01D,D01A
34712,N05B,L01D
34713,B01A,R03D
34714,D05A,M01A
34715,R03A,A03F
34716,A10B,C09C
34717,N03A,N05A
34718,J02A,H02A
34719,C10A,C03C
34720,N02C,N07B
34721,C10A,N05B
34722,N02B,C02C
34723,J01A,S01A
34724,N02B,H02A
34725,J01D,C07A
34726,C07A,J01X
34727,J01X,L01B
34728,B05C,B05X
34729,C08D,M01A
34730,N02B,D11A
34731,N06A,R01A
34732,M01A,S01A
34733,B05X,M05B
34734,J01D,M01A
34735,G04C,N06B
34736,D01A,J01X
34737,D01A,C09C
34738,M01A,N06A
34739,C09C,C08C
34740,M01A,J02A
34741,G04C,C10A
34742,A03F,R06A
34743,M01A,L01X
34744,C10A,N05B
34745,C10A,J02A
34746,D07A,A07E
34747,R03A,N03A
34748,J02A,J05A
34749,N02A,N05C
34750,A03B,C10A
34751,C02D,C02A
34752,A03F,J05A
34753,L01X,A02B
34754,N05C,R01A
34755,A10B,J01D
34756,N06A,C07A
34757,L01A,C01D
34758,V03A,C04A
34759,C09A,N05B
34760,A07D,R06A
34761,A07D,L02A
34762,N02A,P01B
34763,C08D,G03X
34764,C01D,D11A
34765,L01A,L04A
34766,N02A,N05B
34767,C08D,A02B
34768,C08D,C09A
34769,C10A,L01X
34770,C09A,B01A
34771,N06D,N03A
34772,N05A,C10A
34773,D10A,L02B
34774,N02A,M05B
34775,N05B,M04A
34776,C09A,M01A
34777,R01A,H01C
34778,N03A,N06A
34779,A02B,A07E
34780,N06A,A10B
34781,S01A,A10B
34782,G04C,C10A
34783,N03A,L01A
34784,C10A,D01A
34785,R03A,M01A
34786,J01D,N05C
34787,B01A,S01A
34788,S01E,S01A
34789,R03A,M05B
34790,C07A,N06A
34791,C04A,M01A
34792,B01A,B01A
34793,N05B,S01E
34794,B01A,S01E
34795,S01A,J01D
34796,G03X,C09C
34797,C01B,J05A
34798,J01D,C10A
34799,G04C,A06A
34800,B01A,A10B
34801,C01B,L01X
34802,G04B,C10A
34803,J01D,S01A
34804,C09A,N05C
34805,M02A,B01A
34806,C10A,S01A
34807,C03C,N03A
34808,G04B,N03A
34809,N02A,G04C
34810,G04C,M05B
34811,M03B,C10A
34812,C09C,J02A
34813,A03F,H01C
34814,R06A,N03A
34815,N04B,G04C
34816,J05A,M02A
34817,C09C,N06B
34818,N05B,G04B
34819,N05B,G04B
34820,C01E,N07B
34821,J01D,N06A
34822,C09C,R03D
34823,L02B,C01D
34824,N03A,P01A
34825,C09C,L02B
34826,C05A,N02C
34827,R06A,M01A
34828,C10A,G04C
34829,C03C,C10A
34830,S01E,M03B
34831,L01A,H02A
34832,J01A,C10A
34833,C01D,A02B
34834,S01A,N02A
34835,S01A,R01A
34836,R03A,N01A
34837,R03A,C07A
34838,N05B,J05A
34839,C08D,A07E
34840,C01B,N05C
34841,N05A,C07A
34842,L02B,A02B
34843,C08C,C01B
34844,D01A,C10A
34845,M05B,J02A
34846,S01E,N06A
34847,G04C,M04A
34848,J05A,H02A
34849,C09A,C01D
34850,L01A,L01X
34851,J05A,P01A
34852,L01C,N05C
34853,L01C,N05C
34854,C09C,L01X
34855,M03B,D01A
34856,D11A,C01D
34857,C08D,L02B
34858,R01A,N05C
34859,N05B,A10B
34860,N05B,M01A
34861,C09A,J05A
34862,M02A,H02A
34863,R06A,C09C
34864,M03B,M03B
34865,C07A,N05A
34866,C07A,J05A
34867,C07A,J01F
34868,N05B,L01X
34869,R06A,N06A
